City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,yellowknife,62.456,-114.3525,20.29,52,40,7.2,CA,1687818213
124,namibe,-15.1961,12.1522,15.87,79,2,4.74,AO,1687818213
125,west island,-12.1568,96.8225,25.99,69,40,7.72,CC,1687818213
126,tindouf,27.6711,-8.1474,35.25,7,20,2.57,DZ,1687818213
127,iguape,-24.7081,-47.5553,20.64,81,0,3.35,BR,1687818214
128,trevelin,-43.0858,-71.4639,2.71,96,88,1.36,AR,1687818214
129,codrington,-38.2667,141.9667,8.37,93,100,4.89,AU,1687818214
130,batticaloa,7.7102,81.6924,26.76,76,100,3.2,LK,1687818214
131,wanganui,-39.9333,175.05,10.33,89,100,1.34,NZ,1687818214
132,puerto colombia,10.9878,-74.9547,25.05,76,100,3.22,CO,1687818214
133,saudarkrokur,65.7461,-19.6394,13.77,62,61,1.8,IS,1687818215
134,labrador city,52.9463,-66.9114,22.95,31,75,8.75,CA,1687818215
135,polyarnyy,69.1989,33.4478,7.72,91,77,1.66,RU,1687818215
136,juegang,32.3174,121.1855,26.62,90,0,2.36,CN,1687818215
137,rabo de peixe,37.8,-25.5833,19.73,83,20,5.66,PT,1687818215
138,arraial do cabo,-22.9661,-42.0278,22.92,83,0,5.14,BR,1687818215
139,vorkuta,67.5,64.0,6.76,89,15,2.93,RU,1687818215
140,vorgashor,67.5833,63.95,6.37,89,14,3.08,RU,1687818114
141,malpe,13.35,74.7167,24.61,87,100,0.98,IN,1687818216
142,caucete,-31.6518,-68.2811,16.25,52,0,5.0,AR,1687818216
143,machico,32.7,-16.7667,25.62,65,0,11.83,PT,1687818216
144,nar'yan-mar,67.6713,53.087,6.51,85,97,2.27,RU,1687818216
145,roha,18.4333,73.1167,26.21,87,100,3.0,IN,1687818216
146,puerto lempira,15.2667,-83.7667,29.08,74,40,3.09,HN,1687818217
147,ilgaz,40.9251,33.6259,14.74,89,11,2.08,TR,1687818217
148,piton saint-leu,-21.2196,55.3151,16.06,63,0,4.12,RE,1687818217
149,nishinoomote,30.7333,131.0,25.64,88,15,0.99,JP,1687818218
150,turpan,42.9333,89.1667,23.99,34,5,1.31,CN,1687818218
151,canico,32.6333,-16.85,25.62,65,0,11.83,PT,1687818219
152,arteche,12.2645,125.4048,25.04,92,89,1.48,PH,1687818219
153,saint-francois,46.4154,3.9054,17.69,68,0,2.06,FR,1687818219
154,ta`u,-14.2336,-169.5144,27.21,77,31,6.34,AS,1687818219
155,erdenet,49.0333,104.0833,7.75,93,100,2.76,MN,1687818219
156,vila velha,-20.3297,-40.2925,21.08,92,40,1.54,BR,1687818220
157,yeppoon,-23.1333,150.7333,16.88,72,79,1.7,AU,1687818220
158,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,68,0,2.0,RU,1687818128
159,lebu,-37.6167,-73.65,11.88,81,100,8.63,CL,1687818220
160,zhangjiajie,29.1294,110.4783,23.25,92,48,1.36,CN,1687818220
161,siwa oasis,29.2041,25.5195,30.66,26,0,4.08,EG,1687818220
162,hamilton,39.1834,-84.5333,27.91,54,75,7.2,US,1687817931
163,kamina,-8.7386,24.9906,17.1,51,29,1.04,CD,1687818221
164,vytegra,61.0064,36.4481,18.04,58,98,1.07,RU,1687818221
165,druzhba,52.0428,33.9453,12.61,96,100,5.45,UA,1687818221
166,georgetown,5.4112,100.3354,26.96,87,20,1.03,MY,1687817983
167,tazovsky,67.4667,78.7,7.59,77,61,1.48,RU,1687818221
168,dolinsk,47.35,142.8,18.42,82,63,4.06,RU,1687818222
169,luganville,-15.5333,167.1667,24.2,60,35,1.62,VU,1687818222
170,hithadhoo,-0.6,73.0833,27.84,76,100,2.97,MV,1687818222
171,bikenibeu village,1.3673,173.1241,27.98,89,75,3.09,KI,1687818222
172,ust-nera,64.5667,143.2,23.83,54,70,1.74,RU,1687818222
173,longyearbyen,78.2186,15.6401,5.91,87,75,5.14,SJ,1687818222
174,tucumcari,35.1717,-103.725,35.91,24,0,8.23,US,1687818223
175,sao tome,0.3365,6.7273,26.02,83,75,6.17,ST,1687818223
176,kuanda,56.3161,116.0806,20.06,64,17,0.75,RU,1687818223
177,celestun,20.8667,-90.4,29.81,69,22,8.34,MX,1687818223
178,bolobo,-2.1667,16.2333,23.9,81,100,0.85,CD,1687818223
179,isla vista,34.4133,-119.861,27.66,65,0,4.63,US,1687818223
180,slave lake,55.2834,-114.769,21.99,64,0,2.06,CA,1687818224
181,chatellerault,46.8,0.5333,18.4,62,80,2.67,FR,1687818224
182,wainwright,52.839,-110.8572,23.99,48,26,2.47,CA,1687818224
183,gadzhiyevo,69.2551,33.3362,7.55,91,84,1.37,RU,1687818224
184,kasongo-lunda,-6.4667,16.8167,22.2,57,74,1.01,CD,1687818224
185,upington,-28.4478,21.2561,19.21,45,37,5.14,ZA,1687818225
186,coquimbo,-29.9533,-71.3436,13.85,100,100,4.12,CL,1687818196
187,bagan serai,5.0108,100.541,27.01,89,98,1.5,MY,1687818225
188,prince rupert,54.3161,-130.3201,19.05,75,75,5.14,CA,1687818225
